,PopDensity,Forest,Rainfall,TempMin,TempMax,StagWater,WasteLand,Dengue,Class_value
128,0.153322,0.0,0.000849,0.15044200000000002,0.338843,0,1,6.8e-05,0.0
129,0.09029,0.194969,0.0,0.15044200000000002,0.338843,0,1,0.0,0.0
130,0.09767200000000001,0.638994,0.0034579999999999997,0.15044200000000002,0.338843,1,1,0.00020299999999999997,0.0
131,0.051675,0.573585,0.0,0.15044200000000002,0.338843,1,1,0.000135,0.0
132,0.036911,0.173585,0.006302,0.522124,0.628099,0,1,0.0010140000000000001,0.0
133,0.0636,0.52956,0.027958999999999998,0.522124,0.628099,1,1,0.000608,0.0
134,0.049404,0.5647800000000001,0.034036000000000004,0.522124,0.628099,1,1,0.0010140000000000001,0.0
135,0.123225,0.23521999999999998,0.017064,0.522124,0.628099,1,0,0.0020280000000000003,0.0
136,0.104486,0.104403,0.0036829999999999996,0.522124,0.628099,1,0,0.000608,0.0
137,0.033504,0.664151,8.2e-05,0.522124,0.628099,1,0,0.00020299999999999997,0.0
138,0.328223,0.255346,0.030895,0.522124,0.628099,1,1,0.0,0.0
139,0.176036,0.538365,0.032327,0.522124,0.628099,0,1,0.0,0.0
140,0.046564,0.14213800000000001,0.000614,0.522124,0.628099,1,0,0.0014199999999999998,0.0
141,0.113572,0.120755,0.031652,0.522124,0.628099,1,1,0.001825,0.0
142,0.0795,0.205031,0.013606,0.522124,0.628099,1,0,0.0014199999999999998,0.0
143,0.072686,0.354717,0.032409,0.522124,0.628099,1,1,0.0036509999999999997,0.0
144,0.097104,0.12578599999999998,0.0052380000000000005,0.522124,0.628099,0,1,0.0014199999999999998,0.0
145,0.109029,0.11195,0.001575,0.522124,0.628099,1,1,0.003042,0.0
146,0.133447,0.064151,0.010731000000000001,0.522124,0.628099,1,0,0.0034479999999999997,0.0
147,0.482112,0.152201,0.004184,0.522124,0.628099,1,1,0.005679,0.0
148,0.044293,0.48805,0.002251,0.522124,0.628099,1,0,0.004056000000000001,0.0
149,0.123225,0.432704,0.000512,0.522124,0.628099,0,1,0.0036509999999999997,0.0
150,0.08404299999999999,0.314465,0.0028539999999999998,0.522124,0.628099,1,1,0.002637,0.0
151,0.075525,0.215094,0.0,0.522124,0.628099,1,1,0.0014199999999999998,0.0
152,0.53322,0.226415,0.08470599999999999,0.522124,0.628099,1,0,0.0,0.0
153,0.13458299999999998,0.592453,0.011325,0.522124,0.628099,1,1,0.0036509999999999997,0.0
154,0.061897,0.422642,0.02798,0.522124,0.628099,0,0,0.001622,0.0
155,0.17774,0.42893100000000006,0.0023940000000000003,0.522124,0.628099,1,1,0.000811,0.0
156,0.064736,0.132075,0.001422,0.522124,0.628099,1,0,0.000608,0.0
157,0.014196,0.58239,0.000256,0.522124,0.628099,1,1,0.000811,0.0
158,0.051675,0.567296,0.000389,0.522124,0.628099,0,1,0.000608,0.0
159,0.0,0.6830189999999999,0.013697999999999998,0.522124,0.628099,1,1,0.00040599999999999995,0.0
160,1.0,0.8553459999999999,0.052174,0.522124,0.628099,0,0,0.0077069999999999994,0.0
161,0.010221,1.0,0.057902999999999996,0.522124,0.628099,1,1,0.002839,0.0
162,0.036343,0.42138400000000004,0.001023,0.522124,0.628099,1,1,0.006490000000000001,0.0
163,0.115843,0.23144699999999999,0.019642,0.522124,0.628099,0,1,0.0036509999999999997,0.0
164,0.057353999999999995,0.45283,0.006495999999999999,0.522124,0.628099,0,0,0.0,0.0
165,0.059057000000000005,0.660377,0.041442,0.522124,0.628099,1,1,0.00040599999999999995,0.0
166,0.039182,0.679245,0.039037999999999996,0.522124,0.628099,0,1,0.000608,0.0
167,0.044861,0.08050299999999999,0.006813,0.522124,0.628099,1,1,0.0034479999999999997,0.0
168,0.003407,0.308176,0.010813,0.522124,0.628099,1,1,0.001825,0.0
169,0.014196,0.283019,0.021483000000000002,0.522124,0.628099,1,1,0.004259000000000001,0.0
170,0.033504,0.25157199999999996,0.002558,0.522124,0.628099,1,0,0.0032450000000000005,0.0
171,0.019875,0.203774,0.055979999999999995,0.522124,0.628099,1,1,0.005679,0.0
172,0.010789,0.354717,0.006425,0.522124,0.628099,0,1,0.004462,0.0
173,0.042589,0.13081800000000002,0.000246,0.522124,0.628099,1,1,0.006490000000000001,0.0
174,0.003407,0.569811,0.02532,0.522124,0.628099,0,1,0.003042,0.0
175,0.021011000000000002,0.299371,0.001146,0.522124,0.628099,0,1,0.0,0.0
176,0.151618,0.051572,0.0059229999999999994,0.522124,0.628099,1,1,0.002434,0.0
177,0.08290700000000001,0.177358,0.008542000000000001,0.522124,0.628099,1,1,0.005679,0.0
178,0.027825,0.318239,0.050026,0.522124,0.628099,1,0,0.002839,0.0
179,0.053378999999999996,0.056603999999999995,0.011509,0.522124,0.628099,1,0,0.005273,0.0
180,0.045429000000000004,0.01761,0.021054,0.522124,0.628099,1,1,0.001825,0.0
181,0.056218,0.295597,0.027519,0.522124,0.628099,0,1,0.002434,0.0
182,0.340148,0.264151,0.035468,0.522124,0.628099,1,1,0.017442,1.0
183,0.035207,0.222642,0.070281,0.522124,0.628099,1,0,0.004462,0.0
184,0.023282,0.12327,0.017391,0.522124,0.628099,1,1,0.0,0.0
185,0.006246,0.752201,0.025136000000000002,0.522124,0.628099,1,1,0.006084,0.0
186,0.040886,0.215094,0.020593,0.522124,0.628099,1,0,0.004056000000000001,0.0
187,0.10562200000000001,0.144654,0.024092,0.522124,0.628099,1,1,0.009531999999999999,0.0
188,0.14821099999999998,0.12704400000000002,0.0026190000000000002,0.522124,0.628099,1,1,0.011559999999999999,0.0
189,0.051675,0.310692,0.000338,0.522124,0.628099,1,1,0.004462,0.0
190,0.080068,0.42515699999999995,0.006036,0.522124,0.628099,0,1,0.002637,0.0
191,0.136286,0.72327,0.018147999999999997,0.522124,0.628099,1,1,0.005273,0.0
192,0.045429000000000004,0.577358,0.055192,0.522124,0.628099,1,0,0.001217,0.0
193,0.16184,0.196226,0.011233,0.522124,0.628099,0,1,0.000608,0.0
194,0.153322,0.0,0.045114999999999995,0.522124,0.628099,1,0,0.00020299999999999997,0.0
195,0.09029,0.194969,0.036235,0.522124,0.628099,0,0,0.0,0.0
196,0.09767200000000001,0.638994,0.038916,0.522124,0.628099,1,1,0.000608,0.0
197,0.051675,0.573585,0.026720999999999998,0.522124,0.628099,0,1,0.00040599999999999995,0.0
198,0.036911,0.173585,0.04091,0.769912,0.7603310000000001,1,1,0.0020280000000000003,0.0
199,0.0636,0.52956,0.036389,0.769912,0.7603310000000001,1,1,0.001217,0.0
200,0.049404,0.5647800000000001,0.033003,0.769912,0.7603310000000001,1,1,0.0020280000000000003,0.0
201,0.123225,0.23521999999999998,0.099182,0.769912,0.7603310000000001,0,1,0.004056000000000001,0.0
202,0.104486,0.104403,0.104297,0.769912,0.7603310000000001,0,0,0.001217,0.0
203,0.033504,0.664151,0.106056,0.769912,0.7603310000000001,0,1,0.00040599999999999995,0.0
204,0.328223,0.255346,0.056573000000000005,0.769912,0.7603310000000001,0,0,0.0,0.0
205,0.176036,0.538365,0.048695999999999996,0.769912,0.7603310000000001,1,1,0.0,0.0
206,0.046564,0.14213800000000001,0.10260899999999999,0.769912,0.7603310000000001,0,1,0.002839,0.0
207,0.113572,0.120755,0.101013,0.769912,0.7603310000000001,1,1,0.0036509999999999997,0.0
208,0.0795,0.205031,0.12711,0.769912,0.7603310000000001,1,1,0.002839,0.0
209,0.072686,0.354717,0.11833199999999999,0.769912,0.7603310000000001,0,1,0.007301,0.0
210,0.097104,0.12578599999999998,0.079192,0.769912,0.7603310000000001,1,1,0.002839,0.0
211,0.109029,0.11195,0.049882,0.769912,0.7603310000000001,1,1,0.006084,0.0
212,0.133447,0.064151,0.134465,0.769912,0.7603310000000001,1,1,0.006895999999999999,0.0
213,0.482112,0.152201,0.099274,0.769912,0.7603310000000001,0,1,0.011356999999999999,0.0
214,0.044293,0.48805,0.020399,0.769912,0.7603310000000001,1,1,0.008112000000000001,0.0
215,0.123225,0.432704,0.074015,0.769912,0.7603310000000001,1,1,0.007301,0.0
216,0.08404299999999999,0.314465,0.037923,0.769912,0.7603310000000001,1,1,0.005273,0.0
217,0.075525,0.215094,0.100849,0.769912,0.7603310000000001,0,1,0.002839,0.0
218,0.53322,0.226415,0.057494,0.769912,0.7603310000000001,1,1,0.0,0.0
219,0.13458299999999998,0.592453,0.020041,0.769912,0.7603310000000001,1,1,0.007301,0.0
220,0.061897,0.422642,0.033647,0.769912,0.7603310000000001,1,1,0.0032450000000000005,0.0
221,0.17774,0.42893100000000006,0.059038,0.769912,0.7603310000000001,0,1,0.001622,0.0
222,0.064736,0.132075,0.042251,0.769912,0.7603310000000001,1,1,0.001217,0.0
223,0.014196,0.58239,0.021279,0.769912,0.7603310000000001,0,1,0.001622,0.0
